sku,price,special_price
3MA-051144-14216,17.784,17.784
3MA-051144-14270,16.4427,16.4427
3MA-051144-14660,0.5427,0.5427
3MA-051144-14661,0.6744,0.6744
3MA-051144-20865,3.1667,3.1667
3MA-051144-20868,2.2293,2.2293
3MA-051144-20871,2.4467,2.4467
3MA-051144-20874,2.904,2.904
3MA-051144-20879,1.4307,1.4307
3MA-051144-20883,0.8413,0.8413
3MA-051144-20884,0.8413,0.8413
3MA-051144-20885,0.8413,0.8413
3MA-051144-20886,0.8413,0.8413
3MA-051144-20888,0.9133,0.9133
3MA-051144-20891,0.9973,0.9973
3MA-051144-20909,0.5507,0.5507
3MA-051144-22349,1.7013,1.7013
3MA-051144-22350,1.668,1.668
3MA-051144-22351,1.4573,1.4573
3MA-051144-22354,1.2627,1.2627
3MA-051144-22392,1.1347,1.1347
3MA-051144-22393,0.9122,0.9122
3MA-051144-22394,1.016,1.016
3MA-051144-22395,0.884,0.884
3MA-051144-22396,0.5427,0.5427
3MA-051144-22397,0.488,0.488
3MA-051144-22398,0.7061,0.7061
3MA-051144-22399,0.6659,0.6659
3MA-051144-22400,0.6463,0.6463
3MA-051144-22401,0.6183,0.6183
3MA-051144-22402,0.7093,0.7093
3MA-051144-22403,0.6183,0.6183
3MA-051144-22404,0.8085,0.8085
3MA-051144-22405,0.8867,0.8867
3MA-051144-22406,0.8413,0.8413
3MA-051144-22407,0.46,0.46
3MA-051144-22409,0.488,0.488
3MA-051144-26426,3.592,3.592
3MA-051144-26720,1.1307,1.1307
3MA-051144-26723,1.144,1.144
3MA-051144-26856,2.5067,2.5067
3MA-051144-26857,2.7627,2.7627
3MA-051144-32157,1.8347,1.8347
3MA-051144-40175,1.464,1.464
3MA-051144-40197,0.5333,0.5333
3MA-051144-40210,0.4267,0.4267
3MA-051144-40211,0.4267,0.4267
3MA-051144-40214,0.4427,0.4427
3MA-051144-40221,0.416,0.416
3MA-051144-45091,17.784,17.784
3MA-051144-45092,16.2659,16.2659
3MA-051144-45093,18.7493,18.7493
3MA-051144-45094,16.0427,16.0427
3MA-051144-45095,13.3329,13.3329
3MA-051144-45096,14.5773,14.5773
3MA-051144-45099,13.6933,13.6933
3MA-051144-45101,11.2267,11.2267
3MA-051144-45102,2.2963,2.2963
3MA-051144-45119,5.0747,5.0747
3MA-051144-45131,13.0533,13.0533
3MA-051144-45138,11.4173,11.4173
3MA-051144-45139,8.9947,8.9947
3MA-051144-45145,11.3453,11.3453
3MA-051144-45179,21.1387,21.1387
3MA-051144-45190,19.4307,19.4307
3MA-051144-45205,16.6693,16.6693
3MA-051144-76429,1.6867,1.6867
3MA-051144-76433,0.7037,0.7037
3MA-051144-76624,0.444,0.444
3MA-051144-76626,0.588,0.588
3MA-051144-76627,0.5587,0.5587
3MA-051144-76628,0.5427,0.5427
3MA-051144-76629,0.7695,0.7695
3MA-051144-76630,0.7293,0.7293
3MA-051144-76631,1.084,1.084
3MA-051144-76632,1.0147,1.0147
3MA-051144-76633,0.9627,0.9627
3MA-051144-76634,0.9627,0.9627
3MA-051144-76750,0.7933,0.7933
3MA-051144-76763,1.1413,1.1413
3MA-051144-76767,1.0853,1.0853
3MA-051144-76774,0.65,0.65
3MA-051144-76811,0.9573,0.9573
3MA-051144-77065,2.0253,2.0253
3MA-051144-77115,0.72,0.72
3MA-051144-77333,7.7667,7.7667
3MA-051144-77476,8.6507,8.6507
3MA-051144-77596,1.224,1.224
3MA-051144-77600,1.1253,1.1253
3MA-051144-77601,1.1253,1.1253
3MA-051144-77663,9.944,9.944
3MA-051144-80232,1.772,1.772
3MA-051144-80246,7.6867,7.6867
3MA-051144-80286,9.32,9.32
3MA-051144-80508,0.78,0.78
3MA-051144-80509,0.976,0.976
3MA-051144-80511,0.5427,0.5427
3MA-051144-80512,0.7373,0.7373
3MA-051144-80513,0.976,0.976
3MA-051144-80551,1.9253,1.9253
3MA-051144-80655,2.5093,2.5093
3MA-051144-80656,2.9013,2.9013
3MA-051144-80657,2.8467,2.8467
3MA-051144-80661,2.8747,2.8747
3MA-051144-80665,2.5653,2.5653
3MA-051144-80770,0.6387,0.6387
3MA-051144-80771,0.724,0.724
3MA-051144-80774,0.6773,0.6773
3MA-051144-80782,0.6613,0.6613
3MA-051144-80783,0.76,0.76
3MA-051144-81370,1.6533,1.6533
3MA-051144-81372,1.224,1.224
3MA-051144-81373,1.7,1.7
3MA-051144-81376,1.6773,1.6773
3MA-051144-81401,3.572,3.572
3MA-051144-82142,1.036,1.036
3MA-051144-82238,5.92,5.92
3MA-051144-83487,4.592,4.592
3MA-051144-83488,6.7653,6.7653
3MA-051144-83489,20.064,20.064
3MA-051144-83690,2.5107,2.5107
3MA-051144-85959,1.06,1.06
3MA-051144-85961,0.97,0.97
3MA-051144-85962,1.03,1.03
3MA-051144-85967,1.03,1.03
3MA-051144-85969,0.9973,0.9973
3MA-051144-85970,0.86,0.86
3MA-051144-85973,1.568,1.568
3MA-051144-85975,1.484,1.484
3MA-051144-88755,5.7293,5.7293
3MA-051144-88869,13.0733,13.0733
3MA-051144-88870,10.3507,10.3507
3MA-051144-88871,10.952,10.952
3MA-051144-88872,11.6333,11.6333
3MA-051144-88873,11.6387,11.6387
3MA-051144-88901,4.9453,4.9453
3MA-051144-88902,5.2347,5.2347
3MA-051144-88903,5.5507,5.5507
3MA-051144-88905,6.2373,6.2373
3MA-051144-88906,6.608,6.608
3MA-051144-97055,0.5507,0.5507
3MA-051144-97105,0.6707,0.6707
3MA-051144-97249,0.8227,0.8227
3ME-00013,19.7213,19.7213
3ME-00014,8.2973,8.2973
3ME-00072,4.8413,4.8413
3ME-051135-08001,6.3939,6.3939
3ME-054007-10034,13.4693,13.4693
3ME-054007-15066,9.961,9.961
3ME-06130,1.8415,1.8415
3ME-06132,5.0122,5.0122
3ME-06133,4.0756,4.0756
3ME-06143,5.5366,5.5366
3ME-06165,6.0244,6.0244
3ME-06195,7.468,7.468
3ME-06224,13.012,13.012
3ME-06226,18.2402,18.2402
3ME-09061,8.3307,8.3307
3ME-09964,3.56,3.56
3ME-10075,3.4988,3.4988
3ME-10083,13.7,13.7
3ME-10174,7.2667,7.2667
3ME-10216,5.4463,5.4463
3ME-10224,1.54,1.54
3ME-10232,1.596,1.596
3ME-10240,1.54,1.54
3ME-10257,1.54,1.54
3ME-10265,1.6107,1.6107
3ME-10273,1.54,1.54
3ME-10281,1.54,1.54
3ME-10299,1.6493,1.6493
3ME-10307,4.1027,4.1027
3ME-10323,11.3027,11.3027
3ME-10364,7.3659,7.3659
3ME-10638,11.8524,11.8524
3ME-10810,4.5366,4.5366
3ME-10828,4.5915,4.5915
3ME-10836,4.3756,4.3756
3ME-10844,4.3415,4.3415
3ME-10851,4.3244,4.3244
3ME-10869,4.3756,4.3756
3ME-10885,4.411,4.411
3ME-11271,4.428,4.428
3ME-15025,14.661,14.661
3ME-15074,14.3841,14.3841
3ME-16720,2.4134,2.4134
3ME-41717,14.1427,14.1427
3ME-41750,13.996,13.996
3ME-41753,17.7732,17.7732
3ME-43403,5.6173,5.6173
3ME-69764,1.0317,1.0317
3MI-021200-02852,5.4267,5.4267
3MI-021200-02853,6.8253,6.8253
3MI-021200-02854,7.8037,7.8037
3MI-021200-02980,4.4987,4.4987
3MI-021200-02982,7.508,7.508
3MI-021200-03331,4.9695,4.9695
3MI-021200-03332,7.7653,7.7653
3MI-021200-03775,5.7133,5.7133
3MI-021200-03776,7.6067,7.6067
3MI-021200-03777,9.512,9.512
3MI-021200-04237,19.0227,19.0227
3MI-021200-04240,15.3037,15.3037
3MI-021200-13679,2.1841,2.1841
3MI-021200-14105,2.5333,2.5333
3MI-021200-15872,4.48,4.48
3MI-021200-15873,4.2427,4.2427
3MI-021200-18197,3.7507,3.7507
3MI-021200-19279,3.544,3.544
3MI-021200-19280,6.4827,6.4827
3MI-021200-19718,14.1,14.1
3MI-021200-19808,14.2305,14.2305
3MI-021200-19868,14.1,14.1
3MI-021200-19887,14.4146,14.4146
3MI-021200-21210,17.2463,17.2463
3MI-021200-21305,16.796,16.796
3MI-021200-22648,15.011,15.011
3MI-021200-39846,19.1853,19.1853
3MI-021200-42366,7.0347,7.0347
3MI-021200-42370,11.2773,11.2773
3MI-021200-43181,6.1816,6.1816
3MI-021200-43186,6.3448,6.3448
3MI-021200-43428,2.98,2.98
3MI-021200-49828,10.7787,10.7787
3MI-021200-49829,10.7787,10.7787
3MI-021200-49830,10.7787,10.7787
3MI-021200-49832,10.7787,10.7787
3MI-021200-49833,10.18,10.18
3MI-021200-50045,20.1317,20.1317
3MI-021200-56468,19.4573,19.4573
3MI-021200-69367,2.6147,2.6147
3MI-021200-69605,9.4467,9.4467
3MI-021200-72359,6.68,6.68
3MI-021200-72361,10.0053,10.0053
3MI-021200-72368,5.7695,5.7695
3MI-021200-72401,8.236,8.236
3MI-021200-72402,12.62,12.62
3MI-021200-72406,7.7733,7.7733
3MI-021200-72407,12.62,12.62
3MI-021200-82615,15.1347,15.1347
3MI-021200-85561,5.2439,5.2439
3MI-021200-85562,17.1987,17.1987
3MI-021200-85822,12.8451,12.8451
3MI-021200-86523,3.0093,3.0093
3MI-021200-86525,5.508,5.508
3MI-021200-88290,4.7853,4.7853
3MI-021200-88292,2.3939,2.3939
3MI-048011-53465,2.122,2.122
3MI-048011-53466,4.1707,4.1707
3MI-048011-53467,6.5667,6.5667
3MI-048011-53469,1.44,1.44
3MI-048011-53851,10.7947,10.7947
3MI-048011-53918,20.404,20.404
3MI-051115-03681,4.93,4
3MI-051115-03683,8.49,7.33
3MI-051131-06548,7.8415,7.8415
3MI-051131-06896,9.1267,9.1267
3MI-051131-06898,14.3183,14.3183
3MI-051131-06937,5.7227,5.7227
3MI-051131-06939,10.38,10.38
3MI-051131-06975,10.2829,10.2829
3MI-051131-06984,6.328,6.328
3MI-051131-06992,6.328,6.328
3MI-051131-06995,6.9187,6.9187
3MI-051135-08984,15.711,15.711
3MO-06-0200-10,1.6161,1.6161
3MO-06-0200-10-B,1.4908,1.4908
3MO-06-0200-20,1.831,1.831
3MO-06-0200-20-B,8.977,8.977
3MO-06-0200-30,9.9057,9.9057
3MO-06-0200-51-B,2.3701,2.3701
3MO-06-0200-52,4.5517,4.5517
